SUBSTÂNCIA,CNPJ,LABORATÓRIO,CÓDIGO GGREM,REGISTRO,EAN 1,EAN 2,EAN 3,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,TIPO DE PRODUTO (STATUS DO PRODUTO),REGIME DE PREÇO,PF Sem Impostos,PF 0%,PF 12%,PF 17%,PF 17% ALC,"PF 17,5%","PF 17,5% ALC",PF 18%,PF 18% ALC,PF 20%,PMC 0%,PMC 12%,PMC 17%,PMC 17% ALC,"PMC 17,5%","PMC 17,5% ALC",PMC 18%,PMC 18% ALC,PMC 20%,RESTRIÇÃO HOSPITALAR,CAP,CONFAZ 87,ICMS 0%,ANÁLISE RECURSAL,LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS),COMERCIALIZAÇÃO 2020,TARJA
GLICEROL,55.972.087/0001-50,JP INDUSTRIA FARMACEUTICA S/A,514900501172418,1049100110013,7896137600823,    -     ,    -     ,CLISTEROL,120 MG/ML SOL RET CX 20 FR PLAS TRANS X 500 ML ,A6A4 - LAXANTES ENEMAS,Específico,Regulado,120.45,134.9,155.89,166.7,145.12,167.86,146.0,169.04,146.89,173.94,,,,,,,,,,Sim,Não,Não,Não,,Negativa,Sim,Tarja Vermelha
CLORIDRATO DE CLONIDINA,01.571.702/0001-98,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,511220010039507,1031101740031,7896727870803,    -     ,    -     ,CLIZE,150 MCG/ML SOL INJ IT/IM/IV/EPI CT 25 AMP VD AMB X 1 ML,N2B1 - ANALGÉSICOS NÃO NARCÓTICOS E ANTIPIRÉTICOS SOB PRESCRIÇÃO,Similar,Regulado,165.03,165.03,187.53,198.83,198.83,200.04,200.04,201.26,201.26,206.29,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE CEFEPIMA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520724104158416,1037002910051,7896112128595,    -     ,    -     ,CLOCEF,2 G PO SOL INJ CX 50 FA AMP VD AMB,J1D2 - CEFALOSPORINAS INJETÁVEIS,Similar,Regulado,6835.55,6835.55,7767.67,8235.6,8235.6,8285.51,8285.51,8336.04,8336.04,8544.44,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE CEFEPIMA,17.159.229/0001-76,LABORATÓRIO TEUTO BRASILEIRO S/A,520724103151418,1037002910041,7896112132264,    -     ,    -     ,CLOCEF,1 G PO SOL INJ CX 50 FA AMP VD AMB,J1D2 - CEFALOSPORINAS INJETÁVEIS,Similar,Regulado,3681.14,3681.14,4183.11,4435.11,4435.11,4461.99,4461.99,4489.19,4489.19,4601.43,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE CLONIDINA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506702502155312,1029801930069,7896676406979,    -     ,    -     ,CLONIDIN,150 MCG/ML SOL INJ CX 30 EST X AMP VD AMB X 1 ML,N2B1 - ANALGÉSICOS NÃO NARCÓTICOS E ANTIPIRÉTICOS SOB PRESCRIÇÃO,Novo,Regulado,198.04,198.04,225.05,238.6,238.6,240.05,240.05,241.51,241.51,247.55,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
BISSULFATO DE CLOPIDOGREL,05.044.984/0001-26,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,538812201115417,1677305390025,7896004722382,    -     ,    -     ,CLOPIDO-GRAN,75 MG COM REV CT BL AL AL X 28,"B1C2 - INIBIDORES DA AGRAGAÇÃO PLAQUETÁRIA, ANTAGONISTAS DOS RECEPTORES DA ADENOSINA DIFOSFATO",Similar,Regulado,137.31,137.31,156.03,165.43,165.43,166.44,166.44,167.45,167.45,171.64,189.82,215.7,228.7,228.7,230.09,230.09,231.49,231.49,237.28,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
BISSULFATO DE CLOPIDOGREL,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,500514402115414,1057304010056,7896658011924,    -     ,    -     ,CLOPIN,75 MG COM REV CT BL AL/AL X30,"B1C2 - INIBIDORES DA AGRAGAÇÃO PLAQUETÁRIA, ANTAGONISTAS DOS RECEPTORES DA ADENOSINA DIFOSFATO",Similar,Regulado,213.85,213.85,243.01,257.65,257.65,259.21,259.21,260.79,260.79,267.31,295.64,335.95,356.19,356.19,358.34,358.34,360.53,360.53,369.54,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
BISSULFATO DE CLOPIDOGREL,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,500514401119416,1057304010031,7896658011900,    -     ,    -     ,CLOPIN,75 MG COM REV CT BL AL/AL X15,"B1C2 - INIBIDORES DA AGRAGAÇÃO PLAQUETÁRIA, ANTAGONISTAS DOS RECEPTORES DA ADENOSINA DIFOSFATO",Similar,Regulado,106.92,106.92,121.5,128.82,128.82,129.6,129.6,130.39,130.39,133.65,147.81,167.97,178.09,178.09,179.16,179.16,180.26,180.26,184.76,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
BISSULFATO DE CLOPIDOGREL;ÁCIDO ACETILSALICÍLICO,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,552919120091707,1057307180025,7896658032431,    -     ,    -     ,CLOPIN DUO,75 MG + 100 MG COM REV CT BL AL AL X 30,B1C5 - ASSOCIAÇÕES CONTENDO INIBIDORES AGREGAÇÃO PLAQUETÁRIA,Novo,Regulado,229.01,229.01,260.24,275.92,275.92,277.59,277.59,279.28,279.28,286.26,316.59,359.77,381.44,381.44,383.75,383.75,386.09,386.09,395.74,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
BISSULFATO DE CLOPIDOGREL,45.992.062/0001-65,GERMED FARMACEUTICA LTDA,526114060092903,1058307180023,7895296257015,    -     ,    -     ,CLOPIPLAX,75 MG COM REV CT BL AL AL X 28,"B1C2 - INIBIDORES DA AGRAGAÇÃO PLAQUETÁRIA, ANTAGONISTAS DOS RECEPTORES DA ADENOSINA DIFOSFATO",Similar,Regulado,148.88,148.88,169.18,179.37,179.37,180.46,180.46,181.56,181.56,186.1,205.82,233.88,247.97,247.97,249.48,249.48,251.0,251.0,257.27,Não,Sim,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,06.628.333/0001-46,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,508300713158418,1108500010207,7898166041394,    -     ,    -     ,CLORETO DE SODIO,9 MG/ML SOL INJ IV CX 50 FR PLAS TRANS PE SIST FECH X 250 ML,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,235.97,235.97,268.15,284.3,284.3,286.02,286.02,287.77,287.77,294.96,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,06.628.333/0001-46,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,508300714154416,1108500010215,7898166041387,    -     ,    -     ,CLORETO DE SODIO,9 MG/ML SOL INJ IV CX 60 FR PLAS TRANS PE SIST FECH X 100 ML,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,328.49,328.49,373.28,395.77,395.77,398.17,398.17,400.6,400.6,410.61,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,06.628.333/0001-46,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,508300711155411,1108500010193,7898166041400,    -     ,    -     ,CLORETO DE SODIO,9 MG/ML SOL INJ IV CX 24 FR PLAS TRANS PE SIST FECH X 500 ML,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,135.85,135.85,154.38,163.67,163.67,164.67,164.67,165.67,165.67,169.81,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,06.628.333/0001-46,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,508300709150416,1108500010096,7898166040380,    -     ,    -     ,CLORETO DE SODIO,200 MG/ML SOL INJ IV CX 200 AMP PLAS TRANS X 10 ML,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,166.13,166.13,188.78,200.16,200.16,201.37,201.37,202.6,202.6,207.66,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,06.628.333/0001-46,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,508318120022203,1108500010185,7898166041417,    -     ,    -     ,CLORETO DE SODIO,9 MG/ML SOL INJ IV CX 12 FR PLAS TRANS PE SIST FECH X 1000 ML,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,135.76,135.76,154.27,163.57,163.57,164.56,164.56,165.56,165.56,169.7,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,06.628.333/0001-46,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,508314040020303,1108500010053,7898166040366,    -     ,    -     ,CLORETO DE SODIO,100 MG/ML SOL INJ IV CX 200 AMP PLAS TRANS X 10 ML,K4B1 - SOLUÇÕES PADRÃO (<=20ML),Específico,Regulado,125.17,125.17,142.24,150.81,150.81,151.72,151.72,152.65,152.65,156.46,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,06.628.333/0001-46,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA,508300701151413,1108500010037,7898166040342,    -     ,    -     ,CLORETO DE SODIO,9 MG/ML SOL INJ IV CX 200 FR PLAS TRANS X 10 ML,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,137.13,137.13,155.83,165.22,165.22,166.22,166.22,167.23,167.23,171.41,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,04.459.117/0001-99,SAMTEC BIOTECNOLOGIA LIMITADA,539013100003903,1559200040208,17898415822016,    -     ,    -     ,CLORETO DE SÓDIO,"0,9% SOL INJ CX 200 AMP PLAS TRANS X 10 ML (EMB HOSP)",K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,102.95,102.95,116.99,124.04,124.04,124.79,124.79,125.55,125.55,128.69,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,01.571.702/0001-98,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,511216110031503,1031100111675,7896727841247,    -     ,    -     ,CLORETO DE SÓDIO,9 MG/ML SOL INJ IV CX 100 BOLS PP TRANS SIST FECH X 100 ML,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,540.77,540.77,614.51,651.53,651.53,655.48,655.48,659.48,659.48,675.96,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,01.571.702/0001-98,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,511216110031603,1031100111683,7896727841308,    -     ,    -     ,CLORETO DE SÓDIO,9 MG/ML SOL INJ IV CX 50 BOLS PP TRANS SIST FECH X 250 ML,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,229.53,229.53,260.83,276.54,276.54,278.22,278.22,279.91,279.91,286.91,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,04.459.117/0001-99,SAMTEC BIOTECNOLOGIA LIMITADA,539013100003404,1559200040151,17898415822115,    -     ,    -     ,CLORETO DE SÓDIO,10G/100ML SOL INJ CX 200 AMP PLAS TRANS X 10ML ,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,108.09,108.09,122.83,130.23,130.23,131.02,131.02,131.82,131.82,135.11,149.43,169.81,180.04,180.04,181.13,181.13,182.23,182.23,186.78,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,01.571.702/0001-98,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,511216110031803,1031100111705,7896727841322,    -     ,    -     ,CLORETO DE SÓDIO,9 MG/ML SOL INJ IV CX 15 BOLS PP TRANS SIST FECH X 1000 ML ,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,112.31,112.31,127.63,135.31,135.31,136.13,136.13,136.96,136.96,140.39,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,04.459.117/0001-99,SAMTEC BIOTECNOLOGIA LIMITADA,539013100004103,1559200040224,17898415822023,    -     ,    -     ,CLORETO DE SÓDIO,"0,9% SOL INJ CX 200 AMP PLAS TRANS X 20 ML (EMB HOSP)",K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,215.11,215.11,244.44,259.17,259.17,260.74,260.74,262.33,262.33,268.89,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,01.571.702/0001-98,HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,511216110031703,1031100111691,7896727841315,    -     ,    -     ,CLORETO DE SÓDIO,9 MG/ML SOL INJ IV CX 30 BOLS PP TRANS SIST FECH X 500 ML ,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,162.2,162.2,184.32,195.42,195.42,196.61,196.61,197.8,197.8,202.75,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,04.459.117/0001-99,SAMTEC BIOTECNOLOGIA LIMITADA,539013100004303,1559200040240,17898415822313,    -     ,    -     ,CLORETO DE SÓDIO,20% SOL INJ CX 200 AMP PLAS TRANS X 10 ML (EMB HOSP),K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,110.68,110.68,125.77,133.35,133.35,134.16,134.16,134.98,134.98,138.35,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,04.459.117/0001-99,SAMTEC BIOTECNOLOGIA LIMITADA,539013100004503,1559200040267,17898415822320,    -     ,    -     ,CLORETO DE SÓDIO,20% SOL INJ CX 200 AMP PLAS TRANS X 20 ML (EMB HOSP),K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,247.1,247.1,280.8,297.71,297.71,299.52,299.52,301.34,301.34,308.88,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,05.439.635/0001-03,ANTIBIÓTICOS DO BRASIL LTDA,501302210156413,1556200260076,7898924600054,    -     ,    -     ,"CLORETO DE SÓDIO 0,9%",9 MG/ML SOL INJ IV CX 100 BOLS PVC ITRANS SIST FECH X 100 ML,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,435.13,435.13,494.47,524.25,524.25,527.43,527.43,530.65,530.65,543.91,601.54,683.58,724.74,724.74,729.14,729.14,733.59,733.59,751.92,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,47.231.121/0001-08,BEKER PRODUTOS FÁRMACO HOSPITALARES LTDA,503301207158411,1034600030229,7898170783235,    -     ,    -     ,CLORETO DE SÓDIO BEKER,9 MG/ML SOL INFUS IV CX 50 BOLS PLAS PVC TRANS SIST FECH X 100 ML,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,270.92,270.92,307.86,326.41,326.41,328.39,328.39,330.39,330.39,338.65,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,47.231.121/0001-08,BEKER PRODUTOS FÁRMACO HOSPITALARES LTDA,503301203152419,1034600030180,7898170783082,    -     ,    -     ,CLORETO DE SÓDIO BEKER,9 MG/ML SOL INFUS IV CX 14 BOLS PLAS PVC TRANS SIST FECH X 1000 ML,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,106.79,106.79,121.35,128.66,128.66,129.44,129.44,130.23,130.23,133.49,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,47.231.121/0001-08,BEKER PRODUTOS FÁRMACO HOSPITALARES LTDA,503317120007703,1034600030261,7898170784348,    -     ,    -     ,CLORETO DE SÓDIO BEKER,9 MG/ML SOL INFUS IV CX 100 BOLS PLAS PP TRANS SIST FECH X 100 ML,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,541.84,541.84,615.73,652.82,652.82,656.78,656.78,660.78,660.78,677.3,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,47.231.121/0001-08,BEKER PRODUTOS FÁRMACO HOSPITALARES LTDA,503317120007903,1034600030288,7898170784362,    -     ,    -     ,CLORETO DE SÓDIO BEKER,9 MG/ML SOL INFUS IV CX 24 BOLS PLAS PP TRANS SIST FECH X 500 ML,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,135.16,135.16,153.59,162.84,162.84,163.83,163.83,164.83,164.83,168.95,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,47.231.121/0001-08,BEKER PRODUTOS FÁRMACO HOSPITALARES LTDA,503301204159417,1034600030172,7898170783075,    -     ,    -     ,CLORETO DE SÓDIO BEKER,9 MG/ML SOL INFUS IV CX 24 BOLS PLAS PVC TRANS SIST FECH X 500 ML,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,135.16,135.16,153.59,162.84,162.84,163.83,163.83,164.83,164.83,168.95,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORETO DE SÓDIO,47.231.121/0001-08,BEKER PRODUTOS FÁRMACO HOSPITALARES LTDA,503301208154411,1034600030164,7898170783068,    -     ,    -     ,CLORETO DE SÓDIO BEKER,9 MG/ML SOL INFUS IV CX 50 BOLS PLAS PVC TRANS SIST FECH X 250 ML,K1B1 - SOLUÇÕES DE CLORETO SÓDIO,Específico,Regulado,231.68,231.68,263.27,279.13,279.13,280.82,280.82,282.54,282.54,289.6,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE AMIODARONA,19.570.720/0001-10,HIPOLABOR FARMACEUTICA LTDA,511614010041806,1134301220022,7898123907749,    -     ,    -     ,CLORIDRATO DE AMIODARONA,50 MG/ML SOL INJ IV CX 100 AMP VD AMB X 3 ML,C1B - ANTIARRÍTMICOS CARDÍACOS,Genérico,Regulado,154.76,154.76,175.86,186.46,186.46,187.59,187.59,188.73,188.73,193.45,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE BUPIVACAÍNA,17.174.657/0001-78,HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMÁCIA LTDA,511803701151114,1038700530013,7898122912584,    -     ,    -     ,CLORIDRATO DE BUPIVACAÍNA,"5,0 MG/ML S/ VASOCONSTRITOR SOL INJ CX C/ 25 FR VD TRANS X 20 ML",N1B1 - ANESTÉSICOS LOCAIS MEDICINAIS INJETÁVEIS,Genérico,Regulado,310.44,310.44,352.77,374.02,374.02,376.29,376.29,378.59,378.59,388.05,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE BUPIVACAÍNA;GLICOSE,19.570.720/0001-10,HIPOLABOR FARMACEUTICA LTDA,511611902157118,1134301680015,7898123908982,    -     ,    -     ,CLORIDRATO DE BUPIVACAÍNA + GLICOSE,5 MG/ML + 80 MG/ML SOL INJ IV CX 100 AMP VD TRANS X 4 ML,N1B1 - ANESTÉSICOS LOCAIS MEDICINAIS INJETÁVEIS,Genérico,Regulado,355.15,355.15,403.58,427.89,427.89,430.48,430.48,433.11,433.11,443.94,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE BUPIVACAÍNA,17.174.657/0001-78,HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMÁCIA LTDA,511803801154115,1038700550014,7898122912607,    -     ,    -     ,CLORIDRATO DE BUPIVACAÍNA HIPERBÁRICA,5 MG/ML + 80 MG/ML SOL INJ CX 50 AMP VD TRANS X 4 ML,N1B1 - ANESTÉSICOS LOCAIS MEDICINAIS INJETÁVEIS,Genérico,Regulado,267.18,267.18,303.61,321.9,321.9,323.85,323.85,325.83,325.83,333.98,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE BUPROPIONA,60.665.981/0001-18,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,533018030066906,1049714130026,7896006206903,7896006210818,    -     ,CLORIDRATO DE BUPROPIONA,150 MG COM REV LIB PROL CT STRIP AL/PLAS X 60,N6A9 - ANTIDEPRESSIVOS TODOS OS OUTROS,Genérico,Regulado,136.74,136.74,155.39,164.75,164.75,165.75,165.75,166.76,166.76,170.93,189.04,214.82,227.76,227.76,229.14,229.14,230.54,230.54,236.3,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE BUPROPIONA,03.485.572/0001-04,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,510417020149906,1542302520034,7899095256415,    -     ,    -     ,CLORIDRATO DE BUPROPIONA,150 MG COM REV LIB LENTA CT BL AL/AL X 60,N6A9 - ANTIDEPRESSIVOS TODOS OS OUTROS,Genérico,Regulado,144.81,144.81,164.56,174.47,174.47,175.53,175.53,176.6,176.6,181.01,200.19,227.49,241.19,241.19,242.66,242.66,244.14,244.14,250.24,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE BUPROPIONA,57.507.378/0003-65,EMS S/A,507746201116110,1023510390050,7896004732633,    -     ,    -     ,CLORIDRATO DE BUPROPIONA,150 MG COM REV LIB PROL CT BL AL AL X 60,N5C - TRANQUILIZANTES,Genérico,Regulado,151.87,151.87,172.58,182.98,182.98,184.08,184.08,185.21,185.21,189.84,209.95,238.58,252.96,252.96,254.48,254.48,256.04,256.04,262.44,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE CEFEPIMA,33.258.401/0001-03,INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA,513406101152111,1006302270072,7897406114447,    -     ,    -     ,CLORIDRATO DE CEFEPIMA,2 G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP),J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,4607.32,4607.32,5235.59,5550.99,5550.99,5584.63,5584.63,5618.68,5618.68,5759.15,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE CEFEPIMA,33.258.401/0001-03,INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA,513406105158112,1006302270021,7897406114393,    -     ,    -     ,CLORIDRATO DE CEFEPIMA,1G PO P/ SOL INJ CT 50 FA VD INC (EMB HOSP),J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,2533.74,2533.74,2879.25,3052.7,3052.7,3071.2,3071.2,3089.93,3089.93,3167.18,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE CEFEPIMA,05.439.635/0001-03,ANTIBIÓTICOS DO BRASIL LTDA,501301005151113,1556200140062,7898911244315,    -     ,    -     ,CLORIDRATO DE CEFEPIMA,1 G PO SOL INJ IV CX 10 FA VD TRANS X 20 ML + 10 BOLS PLAS TRANS SIST FECH X 100 ML,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,578.41,578.41,657.28,696.88,696.88,701.1,701.1,705.38,705.38,723.01,799.62,908.65,963.4,963.4,969.23,969.23,975.15,975.15,999.52,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE CEFEPIMA,05.439.635/0001-03,ANTIBIÓTICOS DO BRASIL LTDA,501301010153110,1556200140089,7898911244339,    -     ,    -     ,CLORIDRATO DE CEFEPIMA,2 G PO SOL INJ IV CX 10 FA VD TRANS X 50 ML,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,961.33,961.33,1092.42,1158.23,1158.23,1165.25,1165.25,1172.35,1172.35,1201.66,1328.98,1510.21,1601.19,1601.19,1610.89,1610.89,1620.71,1620.71,1661.22,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE CEFEPIMA,05.439.635/0001-03,ANTIBIÓTICOS DO BRASIL LTDA,501301011151111,1556200140127,7898911244377,    -     ,    -     ,CLORIDRATO DE CEFEPIMA,2 G PO SOL INJ IV CX 10 FA VD TRANS X 50 ML + 10 BOLS FLEXÍVEL (SIST FECH) X 100 ML,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,1010.87,1010.87,1148.72,1217.92,1217.92,1225.3,1225.3,1232.77,1232.77,1263.59,1397.47,1588.04,1683.7,1683.7,1693.91,1693.91,1704.23,1704.23,1746.84,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE CEFEPIMA,06.629.745/0001-09,NOVAFARMA INDÚSTRIA FARMACÊUTICA LTDA,526302803152111,1140200370023,7898208144366,    -     ,    -     ,CLORIDRATO DE CEFEPIMA,1 G PO SOL INJ IV/IM  CX 10 FA VD TRANS,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,500.83,500.83,569.13,603.41,603.41,607.07,607.07,610.77,610.77,626.04,,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE CEFEPIMA,05.439.635/0001-03,ANTIBIÓTICOS DO BRASIL LTDA,501317080024906,1556200140038,7898911244308,    -     ,    -     ,CLORIDRATO DE CEFEPIMA,1 G PO SOL INJ CX 25 FA VD TRANS X 20 ML,J1D2 - CEFALOSPORINAS INJETÁVEIS,Genérico,Regulado,1282.26,1282.26,1457.11,1544.89,1544.89,1554.25,1554.25,1563.73,1563.73,1602.83,1772.65,2014.37,2135.72,2135.72,2148.66,2148.66,2161.76,2161.76,2215.82,Não,Não,Não,Não,,Positiva,Sim,Tarja Vermelha
CLORIDRATO DE CICLOBENZAPRINA,02.814.497/0001-07,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,506417070033206,1438101740156,7896523224756,    -     ,    -     ,CLORIDRATO DE CICLOBENZAPRINA,10 MG COM REV CT BL AL PLAS TRANS X 480,M3B - RELAXANTE MUSCULAR DE AÇÃO CENTRAL,Genérico,Regulado,317.73,355.86,411.23,439.75,382.81,442.82,385.13,445.93,387.48,458.84,,,,,,,,,,Sim,Não,Não,Não,,Negativa,Sim,Tarja Vermelha
CLORIDRATO DE CICLOBENZAPRINA,02.814.497/0001-07,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,506417070033306,1438101740210,7896523224817,    -     ,    -     ,CLORIDRATO DE CICLOBENZAPRINA,5 MG COM REV CT BL AL PLAS TRANS X 480,M3B - RELAXANTE MUSCULAR DE AÇÃO CENTRAL,Genérico,Regulado,286.15,320.49,370.35,396.04,344.76,398.8,346.85,401.61,348.97,413.24,,,,,,,,,,Sim,Não,Não,Não,,Negativa,Sim,Tarja Vermelha
